  Cps/Mbq 161.763   65.991         
  2 b01   b02 b03 b04 b05   b10 b11 b12 b13
 210 420 2.154  210 0.0008728 0.8863 0.9261 0  210 0.0001614 0.2682 0.07268 0
 211 422 2.361  211 0.00275 1.124 0.9437 0  211 0.0003745 0.2366 0.05376 0
 212 424 2.837  212 0.002679 1.375 1.01 0  212 0.0004869 0.3817 0.06724 0
 213 426 2.827  213 0.002797 1.51 1.033 0  213 0.00003824 0.2458 0.03576 0
 214 428 3.011  214 0.003728 1.622 1.051 0  214 0.0002538 0.3045 0.02923 0
 215 430 2.933  215 0.003516 1.562 1.14 0  215 0.0003853 0.1847 0.04236 0
 216 432 2.903  216 0.004821 1.596 0.9997 0  216 0.0009768 0.2261 0.0751 0
 217 434 3.368  217 0.003426 1.87 1.132 0  217 0.0001786 0.3048 0.05747 0
 218 436 3.245  218 0.00357 1.966 1.007 0  218 0.0004788 0.2397 0.02798 0
 219 438 3.3  219 0.00528 2.13 0.8702 0  219 0.0008677 0.2252 0.0678 0
 220 440 3.518  220 0.00395 2.039 1.135 0  220 0.0002757 0.234 0.1058 0
 221 442 3.277  221 0.004763 1.959 1.041 0  221 0.0001088 0.2472 0.02503 0
 222 444 3.171  222 0.005445 2.022 0.88 0  222 0.0002808 0.2077 0.0556 0
 223 446 2.954  223 0.005716 1.728 0.9886 0  223 0 0.2154 0.01559 0
 224 448 2.972  224 0.002789 1.86 0.8496 0  224 0.0003394 0.2293 0.03005 0
 225 450 2.786  225 0.003235 1.536 0.9835 0  225 0.0004441 0.2316 0.03197 0
 226 452 2.508  226 0.004117 1.426 0.8268 0  226 0 0.2267 0.02419 0
 227 454 2.58  227 0.00202 1.379 0.9589 0  227 0 0.2093 0.03057 0
 228 456 2.434  228 0.002834 1.302 0.8994 0  228 0.0008165 0.2102 0.01835 0
 229 458 2.327  229 0.002903 1.272 0.842 0  229 0.0002185 0.1932 0.01721 0
 230 460 1.848  230 0.002054 0.8339 0.7534 0  230 0.0002167 0.2095 0.04908 0
 231 462 2.033  231 0.002296 0.8938 0.9033 0  231 0.0003724 0.1861 0.04695 0
 232 464 1.988  232 0.0007767 0.9096 0.821 0  232 0.00003978 0.2223 0.03452 0
 233 466 1.736  233 0.00147 0.7209 0.6763 0  233 0.0004169 0.2702 0.06655 0
 234 468 1.59  234 0.002201 0.6242 0.7043 0  234 0.00002904 0.2157 0.04397 0
 235 470 1.503  235 0.0005068 0.6873 0.6374 0  235 0.0001601 0.1605 0.01732 0
 236 472 1.669  236 0.001078 0.6308 0.8532 0  236 0 0.1603 0.02355 0
 237 474 1.458  237 0.0001589 0.5481 0.7348 0  237 0.0001663 0.1507 0.02374 0
 238 476 1.489  238 0.0009264 0.6536 0.6623 0  238 0 0.127 0.04552 0
 239 478 1.741  239 0.001902 0.7216 0.8302 0  239 0 0.1533 0.03405 0
 240 480 1.717  240 0.0006058 0.8781 0.6378 0  240 0 0.1878 0.01296 0
